ProductName,product_total_sales
Canon imageCLASS 2200 Advanced Copier,61599.83
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.38
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48
HON 5400 Series Task Chairs for Big and Tall,21870.57
GBC DocuBind TL300 Electric Binding System,19823.48
GBC Ibimaster 500 Manual ProClick Binding System,19024.5
Hewlett Packard LaserJet 3310 Copier,18839.68
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.9
GBC DocuBind P400 Electric Binding System,17965.07
High Speed Automatic Electric Letter Opener,17030.31
Lexmark MX611dhe Monochrome Laser Printer,16829.9
Martin Yale Chadless Opener Electric Letter Opener,16656.21
Ibico EPK-21 Electric Binding System,15875.92
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.97
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89
Samsung Galaxy Mega 6.3,13943.67
Apple iPhone 5,12996.6
Bretford Rectangular Conference Table Tops,12995.28
Global Troy Executive Leather Low-Back Tilter,12975.39
Canon PC1060 Personal Laser Copier,11619.83
SAFCO Arco Folding Chair,11572.78
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,11304.44
Cubify CubeX 3D Printer Double Head Print,11099.96
DMI Eclipse Executive Suite Bookcases,11046.6
Tennsco 6- and 18-Compartment Lockers,10925.0
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.53
Logitech P710e Mobile Speakerphone,10196.61
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.64
Tennsco Double-Tier Lockers,9630.86
Bush Advantage Collection Racetrack Conference Table,9544.72
Plantronics Savi W720 Multi-Device Wireless Headset System,9367.29
Bady BDG101FRU Card Printer,9279.89
Tennsco Single-Tier Lockers,9158.29
GuestStacker Chair with Chrome Finish Legs,9070.93
Canon Imageclass D680 Copier / Fax,8959.87
Hewlett Packard 610 Color Digital Copier / Printer,8899.82
Wilson Electronics DB Pro Signal Booster,8878.4
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5
Global Deluxe High-Back Manager's Chair,8665.21
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8431.0
Chromcraft Round Conference Tables,8209.07
"Hot File 7-Pocket, Floor Stand",8138.24
Fellowes PB300 Plastic Comb Binding Machine,8070.2
Cubify CubeX 3D Printer Triple Head Print,7999.98
Ibico Ibimaster 300 Manual Binding System,7985.38
Global Commerce Series High-Back Swivel/Tilt Chairs,7979.43
Okidata MB760 Printer,7834.4
Ativa V4110MDD Micro-Cut Shredder,7699.89
Mitel MiVoice 5330e IP Phone,7699.73
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.38
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.71
Tennsco 16-Compartment Lockers with Coat Rack,7515.52
Hon 94000 Series Round Tables,7404.49
Logitech diNovo Edge Keyboard,7399.7
Bretford CR4500 Series Slim Rectangular Table,7242.78
Adjustable Depth Letter/Legal Cart,7185.81
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),7139.8
Zebra ZM400 Thermal Label Printer,6965.7
"Bevis Oval Conference Table, Walnut",6942.07
Hon GuestStacker Chair,6936.11
Hoover Upright Vacuum With Dirt Cup,6832.91
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",6819.31
GBC DocuBind 300 Electric Binding Machine,6785.14
Bretford CR8500 Series Meeting Room Furniture,6776.57
Cisco Unified IP Phone 7945G VoIP phone,6751.61
